data;evento;evento_key;codigo_evento;tipo_evento;oficial;abrangencia;territorio;cidade;periodicidade;nivel_impacto;janela_ativacao;momento_no_ano;abordagem_editorial;cta_sugerido;canais_sugeridos;formato_sugerido;tags_editoriais;score_relevancia;score_editorial
01/01/2026;Ano Novo;ano_novo;ANO_NOVO;official;False;national;BR;;annual;peak;ANO_NOVO;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;feriado|internacional|institucional|oficial|mundial|paz;90.0;95.0
01/01/2026;Dia Mundial da Paz;dia_mundial_da_paz;PAZ;data_comemorativa;False;nacional;BR;;anual;pico;DIA_MUNDIAL_DA_PAZ;sazonal;utilidade_publica;saiba_mais;Instagram|LinkedIn;carrossel|reels;paz;90.0;95.0
01/01/2026;Dia da Confraternização Universal;dia_da_confraternizacao_universal;CONFRATERNIZACAO_UNIVERSAL;official;False;national;BR;;annual;pico;CONFRATERNIZACAO_UNIVERSAL;sazonal;institucional;Saiba mais;Instagram|LinkedIn;carrossel|reels;all|institucional|varejo;80.0;70.0
01/01/2026;Dia da Fraternidade Universal;dia_da_fraternidade_universal;FRATERNIDADE_UNIVERSAL;data_comemorativa;0.0;nacional;BR;;anual;medio;;sazonal;informativo;saiba_mais;Instagram|LinkedIn;carrossel|reels;;60.0;50.0
01/01/2026;Dia do Mercosul;dia_do_mercosul;MERCOSUL;data_comemorativa;0.0;nacional;BR;;anual;medio;;sazonal;informativo;saiba_mais;Instagram|LinkedIn;carrossel|reels;;60.0;50.0
01/01/2026;Hanseníase;hanseniase;HANSENIASE;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;cultural;50.0;50.0
01/01/2026;Início do Janeiro Branco;inicio_do_janeiro_branco;INICIO_DO_JANEIRO_BRANCO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo;50.0;50.0
01/01/2026;Início do Janeiro Roxo;inicio_do_janeiro_roxo;INICIO_DO_JANEIRO_ROXO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo;50.0;50.0
01/01/2026;Saúde Mental;saude_mental;SAUDE_MENTAL;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;cultural;50.0;50.0
02/01/2026;Summer Sale 2026;summer_sale_2026;SUMMER_SALE_2026;retail;False;national;BR;;annual;pre;SUMMER_SALE_2026;sazonal;conscientizacao|servico|conteudo educativo|acao social;Saiba mais;Instagram|LinkedIn;carrossel|reels;;70.0;70.0
02/01/2026;Dia do Publicitário;dia_do_publicitario;PUBLICITARIO;data_comemorativa;0.0;nacional;BR;;anual;medio;;sazonal;informativo;saiba_mais;Instagram|LinkedIn;carrossel|reels;;60.0;50.0
02/01/2026;Dia Mundial do Introvertido;dia_mundial_do_introvertido;INTROVERTIDO;international;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;internacional|cultural;55.0;55.0
02/01/2026;Dia do Confeiteiro;dia_do_confeiteiro;CONFEITEIRO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0
02/01/2026;São Basílio Magno;sao_basilio_magno;SAO_BASILIO_MAGNO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0
02/01/2026;Dia Mundial dos Introvertidos;dia_mundial_dos_introvertidos;DIA_MUNDIAL_DOS_INTROVERTIDOS;behavior;False;national;BR;;annual;peak;DIA_MUNDIAL_DOS_INTROVERTIDOS;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;profissão|comportamental|saúde|personalidade;45.0;50.0
02/01/2026;Dia do Sanitarista;dia_do_sanitarista;SANITARISTA;behavior;False;national;BR;;annual;peak;DIA_DO_SANITARISTA;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;profissão|comportamental|saúde|personalidade;45.0;50.0
03/01/2026;Aniversário de Ananindeua;aniversario_de_ananindeua;ANANINDEUA;politico_civico;1.0;municipal;PA;Ananindeua;anual;alto;D-7;sazonal;community;participe;Instagram|Facebook;carrossel|reels;orgulho_local|pertencimento|celebracao;75.0;65.0
03/01/2026;Dia da Abreugrafia;dia_da_abreugrafia;ABREUGRAFIA;behavior;False;national;BR;;annual;peak;DIA_DA_ABREUGRAFIA;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;saúde|profissão|medicina|justiça;45.0;50.0
03/01/2026;Dia do Hemofílico;dia_do_hemofilico;HEMOFILICO;behavior;False;national;BR;;annual;peak;DIA_DO_HEMOF_LICO;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;saúde|profissão|medicina|justiça;45.0;50.0
03/01/2026;Dia do Juiz de Menores;dia_do_juiz_de_menores;JUIZ_DE_MENORES;data_comemorativa;False;nacional;BR;;anual;pico;DIA_DO_JUIZ_DE_MENORES;sazonal;utilidade_publica;saiba_mais;Instagram|LinkedIn;carrossel|reels;medicina|justiça;45.0;50.0
