data;evento;evento_key;codigo_evento;tipo_evento;oficial;abrangencia;territorio;cidade;periodicidade;nivel_impacto;janela_ativacao;momento_no_ano;abordagem_editorial;cta_sugerido;canais_sugeridos;formato_sugerido;tags_editoriais;score_relevancia;score_editorial
01/01/2026;Ano Novo;ano novo;ANO_NOVO;official;False;national;BR;;annual;peak;ANO_NOVO;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;feriado|internacional|institucional|oficial|mundial|paz;90.0;95.0
01/01/2026;Dia da Confraternização Universal;confraternizacao universal;CONFRATERNIZACAO_UNIVERSAL;official;False;national;BR;;annual;pico;CONFRATERNIZACAO_UNIVERSAL;sazonal;institucional;Saiba mais;Instagram|LinkedIn;carrossel|reels;all|institucional|varejo;80.0;70.0
01/01/2026;Dia da Fraternidade Universal;fraternidade universal;FRATERNIDADE_UNIVERSAL;data_comemorativa;0.0;nacional;BR;;anual;medio;;sazonal;informativo;saiba_mais;Instagram|LinkedIn;carrossel|reels;;60.0;50.0
01/01/2026;Hanseníase;hanseniase;HANSENIASE;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;cultural;50.0;50.0
01/01/2026;Início do Janeiro Branco;inicio do janeiro branco;INICIO_DO_JANEIRO_BRANCO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo;50.0;50.0
01/01/2026;Início do Janeiro Roxo;inicio do janeiro roxo;INICIO_DO_JANEIRO_ROXO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo;50.0;50.0
01/01/2026;Dia do Mercosul;mercosul;MERCOSUL;data_comemorativa;0.0;nacional;BR;;anual;medio;;sazonal;informativo;saiba_mais;Instagram|LinkedIn;carrossel|reels;;60.0;50.0
01/01/2026;Dia Mundial da Paz;paz;PAZ;data_comemorativa;False;nacional;BR;;anual;pico;DIA_MUNDIAL_DA_PAZ;sazonal;utilidade_publica;saiba_mais;Instagram|LinkedIn;carrossel|reels;paz;90.0;95.0
01/01/2026;Saúde Mental;saude mental;SAUDE_MENTAL;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;cultural;50.0;50.0
02/01/2026;Dia do Confeiteiro;confeiteiro;CONFEITEIRO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0
02/01/2026;Dia Mundial dos Introvertidos;dia mundial dos introvertidos;DIA_MUNDIAL_DOS_INTROVERTIDOS;behavior;False;national;BR;;annual;peak;DIA_MUNDIAL_DOS_INTROVERTIDOS;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;profissão|comportamental|saúde|personalidade;45.0;50.0
02/01/2026;Dia Mundial do Introvertido;introvertido;INTROVERTIDO;international;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;internacional|cultural;55.0;55.0
02/01/2026;Dia do Publicitário;publicitario;PUBLICITARIO;data_comemorativa;0.0;nacional;BR;;anual;medio;;sazonal;informativo;saiba_mais;Instagram|LinkedIn;carrossel|reels;;60.0;50.0
02/01/2026;Dia do Sanitarista;sanitarista;SANITARISTA;behavior;False;national;BR;;annual;peak;DIA_DO_SANITARISTA;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;profissão|comportamental|saúde|personalidade;45.0;50.0
02/01/2026;São Basílio Magno;sao basilio magno;SAO_BASILIO_MAGNO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo|cultural;50.0;50.0
02/01/2026;Summer Sale 2026;summer sale 2026;SUMMER_SALE_2026;retail;False;national;BR;;annual;pre;SUMMER_SALE_2026;sazonal;conscientizacao|servico|conteudo educativo|acao social;Saiba mais;Instagram|LinkedIn;carrossel|reels;;70.0;70.0
03/01/2026;Dia da Abreugrafia;abreugrafia;ABREUGRAFIA;behavior;False;national;BR;;annual;peak;DIA_DA_ABREUGRAFIA;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;saúde|profissão|medicina|justiça;45.0;50.0
03/01/2026;Aniversário de Ananindeua;ananindeua;ANANINDEUA;politico_civico;1.0;municipal;PA;Ananindeua;anual;alto;D-7;sazonal;community;participe;Instagram|Facebook;carrossel|reels;orgulho_local|pertencimento|celebracao;75.0;65.0
