﻿data;evento;evento_key;codigo_evento;tipo_evento;oficial;abrangencia;territorio;cidade;periodicidade;nivel_impacto;janela_ativacao;momento_no_ano;abordagem_editorial;cta_sugerido;canais_sugeridos;formato_sugerido;tags_editoriais;score_relevancia;score_editorial;descricao_ai;origem_ai;curiosidade_ai
01/01/2026;Ano Novo;ano_novo;ANO_NOVO;official;False;national;BR;;annual;peak;ANO_NOVO;sazonal;conteudo util|informacao|contexto do dia;Saiba mais;Instagram|LinkedIn;carrossel|reels;feriado|internacional|institucional|oficial|mundial|paz;90.0;95.0;O Ano Novo, celebrado em 1º de janeiro, marca o início de um novo ano no calendário gregoriano, utilizado pela maioria dos países ao redor do mundo. É um momento de renovação, reflexão e celebração, onde as pessoas costumam fazer promessas e resoluções para o ano que se inicia. Em diversas culturas, a data é comemorada com festas, fogos de artifício e tradições específicas que variam de região para região.;A celebração do Ano Novo remonta a antigas civilizações, como os babilônios, que já realizavam festividades em torno do equinócio da primavera. O calendário gregoriano, adotado em 1582, estabeleceu o 1º de janeiro como o início do ano.;Em muitos países, é comum a tradição de pular sete ondas no mar ou comer lentilhas, simbolizando prosperidade e sorte para o ano que se inicia.
01/01/2026;Dia Mundial da Paz;dia_mundial_da_paz;PAZ;data_comemorativa;False;nacional;BR;;anual;pico;DIA_MUNDIAL_DA_PAZ;sazonal;utilidade_publica;saiba_mais;Instagram|LinkedIn;carrossel|reels;paz;90.0;95.0;O Dia Mundial da Paz é celebrado anualmente em 1º de janeiro, promovendo a reflexão e ações em prol da paz mundial. Esta data foi estabelecida pela Assembleia Geral das Nações Unidas em 1981, com o objetivo de fortalecer os ideais de paz entre as nações e os povos. É um momento para promover a não-violência e a compreensão mútua, além de incentivar a resolução pacífica de conflitos.;A data foi criada em um contexto de crescente preocupação com os conflitos armados e a necessidade de promover a paz global, sendo um apelo à comunidade internacional para que trabalhe em conjunto por um mundo mais harmonioso.;Em 2000, o Papa João Paulo II fez um apelo especial para que o Dia Mundial da Paz fosse um momento de oração e reflexão sobre a paz, reforçando a importância espiritual da data.
01/01/2026;Dia da Confraternização Universal;dia_da_confraternizacao_universal;CONFRATERNIZACAO_UNIVERSAL;official;False;national;BR;;annual;pico;CONFRATERNIZACAO_UNIVERSAL;sazonal;institucional;Saiba mais;Instagram|LinkedIn;carrossel|reels;all|institucional|varejo;80.0;70.0;O Dia da Confraternização Universal, celebrado em 1º de janeiro, é uma data que simboliza a paz e a união entre todos os povos. É um momento em que se busca refletir sobre a importância da harmonia e do respeito mútuo, promovendo a solidariedade e a compreensão entre as nações. A data é reconhecida mundialmente e marca o início de um novo ano, trazendo a esperança de renovação e de um futuro melhor.;A origem da data remonta ao final do século XIX, quando o movimento pacifista começou a ganhar força, culminando na proposta de um dia dedicado à paz e à confraternização entre os povos.;Em muitos países, o Dia da Confraternização Universal é celebrado com eventos e atividades que promovem a paz, como orações, encontros inter-religiosos e ações comunitárias.
01/01/2026;Dia da Fraternidade Universal;dia_da_fraternidade_universal;FRATERNIDADE_UNIVERSAL;data_comemorativa;0.0;nacional;BR;;anual;medio;;sazonal;informativo;saiba_mais;Instagram|LinkedIn;carrossel|reels;;60.0;50.0;O Dia da Fraternidade Universal é comemorado em 1º de janeiro e tem como objetivo promover a paz, a solidariedade e a união entre todos os povos do mundo. Essa data é uma oportunidade para refletir sobre a importância da fraternidade e do respeito mútuo, independentemente de diferenças culturais, religiosas ou sociais. Embora não seja uma data oficial em muitos países, é celebrada por diversas organizações e movimentos que buscam a harmonia entre as nações.;A ideia de um dia dedicado à fraternidade universal remonta ao século XIX, quando pensadores e ativistas começaram a enfatizar a necessidade de cooperação global e entendimento entre as nações.;A data também coincide com o início do ano novo, simbolizando um novo começo e a esperança de um mundo mais unido.
01/01/2026;Dia do Mercosul;dia_do_mercosul;MERCOSUL;data_comemorativa;0.0;nacional;BR;;anual;medio;;sazonal;informativo;saiba_mais;Instagram|LinkedIn;carrossel|reels;;60.0;50.0;O Dia do Mercosul, celebrado em 1º de janeiro de 2026, marca a data em que o bloco econômico completará 30 anos de sua criação, que ocorreu em 1991. O Mercosul, formado por Argentina, Brasil, Paraguai e Uruguai, tem como objetivo promover a integração econômica e política entre os países membros, facilitando o comércio e a circulação de pessoas. Esta data é importante para refletir sobre os avanços e desafios enfrentados pelo bloco ao longo das décadas, além de fortalecer laços entre as nações participantes.;O Mercosul foi criado pelo Tratado de Assunção, assinado em 26 de março de 1991, e entrou em vigor em 1º de janeiro de 1995.;O Mercosul é um dos maiores blocos econômicos da América do Sul e tem buscado expandir suas relações comerciais com outros países e blocos ao redor do mundo.
01/01/2026;Hanseníase;hanseniase;HANSENIASE;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;cultural;50.0;50.0;O Dia Mundial da Hanseníase é celebrado anualmente no último domingo de janeiro, mas a data de 1º de janeiro de 2026 marca uma nova iniciativa para aumentar a conscientização sobre a hanseníase, uma doença infecciosa crônica que afeta a pele e os nervos. A data busca promover a educação sobre a doença, combater o estigma e incentivar o diagnóstico precoce e o tratamento adequado.;A hanseníase é conhecida desde a Antiguidade e, ao longo da história, foi cercada de preconceitos e desinformação. A Organização Mundial da Saúde (OMS) estabeleceu o Dia Mundial da Hanseníase em 1995, com o objetivo de alertar a população sobre a doença e suas consequências.;Apesar do estigma associado à hanseníase, a doença é tratável e, quando diagnosticada precocemente, a cura é possível em quase todos os casos.
01/01/2026;Início do Janeiro Branco;inicio_do_janeiro_branco;INICIO_DO_JANEIRO_BRANCO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo;50.0;50.0;O Janeiro Branco é uma campanha que visa promover a saúde mental e emocional, incentivando a reflexão sobre o tema e a busca por cuidados psicológicos. Iniciado em 2014, o movimento busca conscientizar a população sobre a importância de cuidar da mente, assim como se cuida do corpo. Durante o mês de janeiro, diversas ações e eventos são realizados em todo o Brasil, envolvendo profissionais da saúde, instituições e a sociedade em geral.;A campanha foi criada por psicólogos e profissionais da saúde mental, que perceberam a necessidade de um espaço específico para discutir e desmistificar questões relacionadas à saúde mental.;A escolha do mês de janeiro se deve ao simbolismo de renovação e novos começos, típico do início do ano, incentivando as pessoas a adotarem hábitos saudáveis para a mente.
01/01/2026;Início do Janeiro Roxo;inicio_do_janeiro_roxo;INICIO_DO_JANEIRO_ROXO;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;comemorativo;50.0;50.0;O Janeiro Roxo é uma campanha de conscientização que ocorre anualmente em janeiro, com o objetivo de alertar a população sobre a importância da prevenção e do diagnóstico precoce das doenças autoimunes, como a esclerose múltipla e o lúpus. A data é marcada por ações educativas e eventos que visam informar sobre os sintomas e tratamentos dessas condições, promovendo a inclusão e o apoio aos pacientes.;A campanha foi criada em 2014 por iniciativa de associações de pacientes e profissionais de saúde, buscando dar visibilidade a essas doenças que muitas vezes são negligenciadas.;A cor roxa foi escolhida por representar a luta contra as doenças autoimunes, simbolizando a união e a força dos pacientes e suas famílias.
01/01/2026;Saúde Mental;saude_mental;SAUDE_MENTAL;cultural;False;national;BR;;annual;medio;;sazonal;informativo;Saiba mais;Instagram|LinkedIn;carrossel|reels;cultural;50.0;50.0;O Dia Mundial da Saúde Mental é celebrado em 10 de outubro, e não em 01 de janeiro de 2026. Essa data é importante para promover a conscientização sobre questões de saúde mental e a importância do bem-estar psicológico. O evento busca desestigmatizar as doenças mentais e incentivar a busca por tratamento e apoio. No Brasil, a saúde mental é um tema relevante, especialmente em um contexto de crescente preocupação com a saúde emocional da população, exacerbada por crises sociais e econômicas.;A data foi estabelecida pela Organização Mundial da Saúde (OMS) em 1992, com o objetivo de aumentar a conscientização sobre a saúde mental em todo o mundo.;Em 2020, a pandemia de COVID-19 trouxe à tona a importância da saúde mental, levando a um aumento na demanda por serviços de apoio psicológico.
02/01/2026;Summer Sale 2026;summer_sale_2026;SUMMER_SALE_2026;retail;False;national;BR;;annual;pre;SUMMER_SALE_2026;sazonal;conscientizacao|servico|conteudo educativo|acao social;Saiba mais;Instagram|LinkedIn;carrossel|reels;;70.0;70.0;A Summer Sale, ou Liquidação de Verão, é um evento de vendas que ocorre em diversas lojas e plataformas de e-commerce, geralmente no início do ano, aproveitando a temporada de férias de verão. Em 2026, a data de 2 de janeiro marca o início dessa liquidação, onde os consumidores podem encontrar descontos significativos em uma variedade de produtos, desde roupas até eletrônicos. É uma oportunidade tanto para os consumidores, que buscam economizar, quanto para os varejistas, que desejam aumentar suas vendas após as festividades de fim de ano.;Embora a prática de liquidações de temporada seja comum em muitos países, a Summer Sale se popularizou especialmente em mercados ocidentais, onde as lojas aproveitam a mudança de estação para esvaziar estoques.;Em algumas regiões, a Summer Sale é tão esperada que atrai multidões, com consumidores acampando do lado de fora das lojas para garantir as melhores ofertas.
02/01/2026;Dia do Publicitário;dia_do_publicitario;PUBLICITARIO;data_comemorativa;0.0;nacional;BR;;anual;medio;;sazonal;informativo;saiba_mais;Instagram|LinkedIn;carrossel|reels;;60.0;50.0;O Dia do Publicitário é comemorado em 2 de janeiro e celebra a profissão de publicitário, essencial para a comunicação e marketing das marcas. Essa data é uma oportunidade para reconhecer o trabalho criativo e estratégico dos profissionais que atuam na promoção de produtos e serviços, contribuindo para o desenvolvimento econômico e cultural da sociedade.;A data foi escolhida em homenagem à criação da primeira agência de publicidade no Brasil, que ocorreu em 1947. Desde então, o dia é marcado por eventos e homenagens a publicitários que se destacam na área.;Além de ser uma data de celebração, o Dia do Publicitário também é um momento de reflexão sobre a ética e a responsabilidade social na publicidade.
