data,nome,tipo_evento,local,cidade,estado,segmento,tags,base_priority,confidence_level,fonte
2026-01-14,Agroshow Copagril,FEIRA,Estação Experimental Copagril,Marechal Cândido Rondon,PR,AGROPECUÁRIO,"agro|tecnologia|sementes",8,5,Portal Radar
2026-01-19,ExpoPlastripel,FEIRA,Parque do Peão,Barretos,SP,VAREJO ALIMENTÍCIO,"plásticos|embalagens|varejo",7,5,Portal Radar
2026-01-23,FIART - Feira Internacional de Artesanato,FEIRA,Centro de Convenções de Natal,Natal,RN,ARTESANATO,"artesanato|cultura|design",6,5,Portal Radar
2026-01-26,Fertilizer LatinoAmericano,CONGRESSO,Miami,Miami,INTERNACIONAL,AGROPECUÁRIO,"fertilizantes|agro|internacional",7,5,Portal Radar
2026-01-26,GULFOOD,FEIRA,Dubai World Trade Center,Dubai,INTERNACIONAL,ALIMENTOS,"alimentos|bebidas|internacional",9,5,Portal Radar
2026-01-27,Fenin Fashion Gramado,FEIRA,Serra Park,Gramado,RS,MODA,"moda|vestuário|fashion",7,5,Portal Radar
2026-01-27,Salão Inspiramais,FEIRA,FIERGS,Porto Alegre,RS,TÊXTIL,"têxtil|moda|design",7,5,Portal Radar
2026-01-27,ABIMAD'41,FEIRA,São Paulo Expo,São Paulo,SP,MÓVEIS E MADEIRA,"móveis|madeira|design",8,5,Portal Radar
2026-01-28,CIOSP,CONGRESSO,Expo Center Norte,São Paulo,SP,ODONTOLOGIA,"odontologia|saúde|medicina",9,5,Portal Radar
2026-01-28,HEALTH INNOVATION FORUM (HIF),CONGRESSO,Espaço Dois Ipês,Goiânia,GO,SAÚDE,"saúde|inovação|tecnologia",7,5,Portal Radar
2026-02-02,ABUP SHOW Home · Gift · Têxtil · Decor,FEIRA,Distrito Anhembi,São Paulo,SP,CASA E DECORAÇÃO,"casa|decoração|têxtil|presentes",7,5,Portal Radar
2026-02-02,FENINJER,FEIRA,Transamerica Expo Center,São Paulo,SP,INFANTIL,"infantil|bebê|brinquedos",7,5,Portal Radar
2026-02-03,Movelpar Home Show,FEIRA,Expoara Centro de Eventos,Arapongas,PR,MÓVEIS,"móveis|casa|decoração",7,5,Portal Radar
2026-02-04,Feira do Cerrado,FEIRA,Núcleo da Cooxupé,Monte Carmelo,MG,AGROPECUÁRIO,"café|agro|cooperativa",7,5,Portal Radar
2026-02-08,ABCasa Fair,FEIRA,Expo Center Norte,São Paulo,SP,CASA E DECORAÇÃO,"casa|decoração|utilidades",8,5,Portal Radar
2026-02-09,Show Rural Coopavel,FEIRA,Parque Tecnológico da Coopavel,Cascavel,PR,AGROPECUÁRIO,"agro|tecnologia|maquinário",9,5,Portal Radar
2026-02-19,Festa Nacional da Uva,EVENTO CULTURAL,Parque de Eventos Mário Bernardino Ramos,Caxias do Sul,RS,CULTURAL,"cultura|vinho|gastronomia",8,5,Portal Radar
2026-02-23,LACTE,CONGRESSO,WTC Events Center,São Paulo,SP,TURISMO,"turismo|viagens|eventos",7,5,Portal Radar
2026-02-24,Marmomac Brazil,FEIRA,Distrito Anhembi,São Paulo,SP,ROCHAS E MÁRMORES,"rochas|mármores|construção",7,5,Portal Radar
2026-02-24,Show Tecnológico Copercampos,FEIRA,Campo Demonstrativo Copercampos,Campos Novos,SC,AGROPECUÁRIO,"agro|tecnologia|sementes",7,5,Portal Radar
2026-02-24,Febratêxtil,FEIRA,Expo Center Norte,São Paulo,SP,TÊXTIL,"têxtil|moda|confecção",7,5,Portal Radar
2026-03-01,ABRIN,FEIRA,Expo Center Norte,São Paulo,SP,BRINQUEDOS,"brinquedos|infantil|jogos",8,5,Portal Radar
2026-03-03,FIMEC,FEIRA,Fenac,Novo Hamburgo,RS,CALÇADOS,"calçados|couro|moda",7,5,Portal Radar
2026-03-04,SIMASP,FEIRA,Centro de Convenções Frei Caneca,São Paulo,SP,AUTOMOTIVO,"automotivo|peças|manutenção",7,5,Portal Radar
2026-03-05,Festival DW! Semana de Design de São Paulo,EVENTO,São Paulo,São Paulo,SP,DESIGN,"design|arquitetura|criatividade",8,5,Portal Radar
2026-03-05,AgroRosário,FEIRA,Rosário,Correntina,BA,AGROPECUÁRIO,"agro|tecnologia|bahia",7,5,Portal Radar
2026-03-09,Expodireto Cotrijal,FEIRA,Não-Me-Toque,Não-Me-Toque,RS,AGROPECUÁRIO,"agro|tecnologia|maquinário",9,5,Portal Radar
2026-03-09,EXPO REVESTIR,FEIRA,São Paulo Expo,São Paulo,SP,CONSTRUÇÃO,"revestimentos|construção|design",8,5,Portal Radar
2026-03-09,HAUS DECOR SHOW,FEIRA,São Paulo Expo,São Paulo,SP,DECORAÇÃO,"decoração|casa|design",7,5,Portal Radar
2026-03-10,Salão das Motopeças,FEIRA,Expo Center Norte,São Paulo,SP,AUTOMOTIVO,"motopeças|motocicletas|peças",7,5,Portal Radar
