data,dia,dia_semana,eventos,categorias,tags
2026-01-01,01,Quinta-feira,Confraternização Universal|Ano Novo|Dia Mundial da Paz,feriado|internacional|institucional,oficial|mundial|paz
2026-01-02,02,Sexta-feira,Dia do Sanitarista|Dia Mundial dos Introvertidos,profissão|comportamental,saúde|personalidade
2026-01-03,03,Sábado,Dia do Hemofílico|Dia da Abreugrafia|Dia do Juiz de Menores,saúde|profissão,medicina|justiça
2026-01-04,04,Domingo,Dia Mundial do Braile|Dia da Abreugrafia,acessibilidade|saúde,inclusão|medicina
2026-01-05,05,Segunda-feira,Dia Nacional da Tipografia|Criação da 1ª Tipografia no Brasil,profissão|histórico,design|gráfica
2026-01-06,06,Terça-feira,Dia de Reis|Dia da Liberdade de Culto|Dia da Gratidão,religioso|direitos|comportamental,católico|liberdade|valores
2026-01-07,07,Quarta-feira,Dia da Liberdade de Cultos,direitos|religioso,liberdade|fé
2026-01-08,08,Quinta-feira,Dia da Fotografia|Dia do Fotógrafo,profissão|arte,visual|criativo
2026-01-09,09,Sexta-feira,Dia do Fico|Dia do Astronauta,histórico|profissão,brasil|espaço
2026-01-10,10,Sábado,Festa de São Gonçalo do Amarante,religioso,católico|santo
2026-01-11,11,Domingo,Dia do Controle da Poluição por Agrotóxicos|Dia Internacional do Obrigado,ambiental|comportamental,sustentabilidade|gratidão
2026-01-12,12,Segunda-feira,Dia do Empresário Contábil,profissão,contabilidade|negócios
2026-01-13,13,Terça-feira,Dia Internacional do Leonismo,institucional|solidariedade,serviço|comunidade
2026-01-14,14,Quarta-feira,Dia do Sargento|Dia do Treinador de Futebol|Dia Internacional da Pipa|Dia do Enfermo,militar|esporte|lazer|saúde,defesa|futebol|diversão|cuidado
2026-01-14,14,,Agroshow Copagril,feira|agropecuário,agro|tecnologia|sementes
2026-01-15,15,Quinta-feira,Dia do Compositor|Dia dos Adultos|Dia Mundial do Compositor,arte|comportamental,música|maturidade
2026-01-16,16,Sexta-feira,Dia do Cortador de Cana-de-Açúcar,profissão|trabalhista,agricultura|rural
2026-01-17,17,Sábado,Dia dos Tribunais de Contas do Brasil,institucional|justiça,fiscalização|transparência
2026-01-18,18,Domingo,Dia da Manicure,profissão|beleza,estética|cuidado
2026-01-19,19,Segunda-feira,Dia Oficial do Cabeleireiro|Dia do Terapeuta Ocupacional|Dia Internacional do Queijo Quark,profissão|saúde|culinária,beleza|terapia|gastronomia
2026-01-19,19,,ExpoPlastripel,feira|varejo alimentício,plásticos|embalagens|varejo
2026-01-20,20,Terça-feira,Dia do Farmacêutico|Dia da Parteira Tradicional|Dia do Pinguim,profissão|saúde|natureza,medicina|maternidade|fauna
2026-01-21,21,Quarta-feira,Dia do Esquilo|Dia Internacional do Moletom|Dia Mundial da Religião,natureza|moda|religioso,fauna|vestuário|fé
2026-01-22,22,Quinta-feira,Dia de Santo André,religioso,católico|santo
2026-01-23,23,Sexta-feira,Dia Internacional da Medicina Integrativa,saúde|internacional,medicina|holístico
2026-01-23,23,,FIART - Feira Internacional de Artesanato,feira|artesanato,artesanato|cultura|design
2026-01-24,24,Sábado,Dia Mundial da Educação|Dia da Constituição|Dia da Previdência Social|Dia Nacional dos Aposentados,educação|institucional|previdência,ensino|direito|aposentadoria
2026-01-25,25,Domingo,Dia do Carteiro|Fundação de São Paulo,profissão|histórico,correios|cidade
2026-01-26,26,Segunda-feira,Dia da Gula,comportamental|religioso,pecado|reflexão
2026-01-26,26,,Fertilizer LatinoAmericano,congresso|agropecuário,fertilizantes|agro|internacional
2026-01-26,26,,GULFOOD,feira|alimentos,alimentos|bebidas|internacional
2026-01-27,27,Terça-feira,Dia do Orador|Dia Internacional em Memória às Vítimas do Holocausto,profissão|memória,comunicação|história
2026-01-27,27,,Fenin Fashion Gramado,feira|moda,moda|vestuário|fashion
2026-01-27,27,,Salão Inspiramais,feira|têxtil,têxtil|moda|design
2026-01-27,27,,ABIMAD'41,feira|móveis e madeira,móveis|madeira|design
2026-01-28,28,Quarta-feira,Dia do Portuário|Dia Internacional da Privacidade de Dados|Dia Internacional do Lego,profissão|tecnologia|lazer,porto|segurança|brinquedo
2026-01-28,28,,CIOSP,congresso|odontologia,odontologia|saúde|medicina
2026-01-28,28,,HEALTH INNOVATION FORUM (HIF),congresso|saúde,saúde|inovação|tecnologia
2026-01-29,29,Quinta-feira,Dia Nacional da Visibilidade Trans|Dia Internacional do Hanseniano,direitos|saúde,lgbtqia+|medicina
2026-01-30,30,Sexta-feira,Dia do Quadrinho Nacional|Dia do Engenheiro Ambiental|Dia da Saudade,arte|profissão|comportamental,hq|sustentabilidade|emoção
2026-01-31,31,Sábado,Dia Mundial do Mágico,arte|entretenimento,ilusionismo|show
2026-02-01,01,Domingo,Dia do Publicitário|Dia da Apresentação de Jesus no Templo|Dia de Nossa Senhora dos Navegantes|Dia Mundial das Zonas Úmidas,profissão|religioso|ambiental,marketing|católico|natureza
