date_iso,event_name,event_type,segment_tags,country,state,city,recurrence,priority_0_100,risk_weight_0_100,window_key,window_phase,locality_scope,content_angles,default_cta,platform_fit,notes,source_hint
2026-01-01,Confraternizacao Universal,official,all|institucional|varejo,BR,,,annual,100,85,CONFRATERNIZACAO_UNIVERSAL,peak,national,mensagem institucional|servico|horarios|comunidade,Saiba mais,Instagram|LinkedIn,Feriado nacional,Feriados nacionais (Brasil)
2026-01-02,SUMMER_SALE_2026 (janela),retail,varejo|promo|sazonal,BR,,,annual,70,70,SUMMER_SALE_2026,pre,national,conscientizacao|servico|conteudo educativo|acao social,Saiba mais,Instagram|LinkedIn,Janela mensal/sazonal,Gerador Edro (sazonal)
2026-01-05,Janela de salario (aprox.),behavior,varejo|promo|planejamento,BR,,,monthly,30,25,PAYDAY_2026_01,peak,national,planejamento|lista de compras|economia,Ver ofertas,MetaAds|GoogleAds,Heuristica (varia por empresa),Gerador Edro (heuristica)
2026-01-24,Dia Internacional da Educacao,international,educacao|institucional,BR,,,annual,40,40,DIA_INTERNACIONAL_DA_EDUCACAO,peak,national,conteudo educativo|institucional|acao pratica,Saiba mais,Instagram|LinkedIn,Gancho de conteudo (nao comercial agressivo),Curadoria datas internacionais
2026-01-25,Aniversario de Sao Paulo,regional,regional|varejo|comunidade,BR,SP,Sao Paulo,annual,45,55,ANNIV_SAO_PAULO_2026,peak,city,orgulho local|historia|beneficios na regiao,Confira,Instagram|Facebook,Data municipal (expansivel por base plugavel),Curadoria regional (exemplo)
2026-02-01,BACK_TO_SCHOOL_2026 (janela),retail,varejo|papelaria|educacao,BR,,,annual,80,80,BACK_TO_SCHOOL_2026,pre,national,conscientizacao|servico|conteudo educativo|acao social,Saiba mais,Instagram|LinkedIn,Janela mensal/sazonal,Gerador Edro (sazonal)
2026-02-04,Dia Mundial do Cancer,international,saude|institucional,BR,,,annual,45,45,DIA_MUNDIAL_DO_CANCER,peak,national,conteudo educativo|institucional|acao pratica,Saiba mais,Instagram|LinkedIn,Gancho de conteudo (nao comercial agressivo),Curadoria datas internacionais
2026-02-05,Janela de salario (aprox.),behavior,varejo|promo|planejamento,BR,,,monthly,30,25,PAYDAY_2026_02,peak,national,planejamento|lista de compras|economia,Ver ofertas,MetaAds|GoogleAds,Heuristica (varia por empresa),Gerador Edro (heuristica)
2026-02-16,Carnaval (segunda-feira),cultural,varejo|entretenimento|turismo,BR,,,annual,85,55,CARNAVAL_SEGUNDA_FEIRA_,peak,national,servicos|horarios|promo tematica|conteudo cultural,Confira,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Data movel (calculo por Pascoa),Gerador Edro (Pascoa)
2026-02-17,Carnaval (terca-feira),cultural,varejo|entretenimento|turismo,BR,,,annual,95,80,CARNAVAL_TERCA_FEIRA_,peak,national,servicos|horarios|promo tematica|conteudo cultural,Confira,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Data movel (calculo por Pascoa),Gerador Edro (Pascoa)
2026-02-18,Quarta-feira de Cinzas,cultural,institucional|servicos,BR,,,annual,55,55,QUARTA_FEIRA_DE_CINZAS,peak,national,servicos|horarios|promo tematica|conteudo cultural,Confira,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Data movel (calculo por Pascoa),Gerador Edro (Pascoa)
2026-03-01,CONSUMER_DAY_2026 (janela pre | D-14),retail,varejo|promo|planejamento,BR,,,annual,75,60,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-01,Aniversario do Rio de Janeiro,regional,regional|varejo|comunidade,BR,RJ,Rio de Janeiro,annual,45,55,ANNIV_RIO_DE_JANEIRO_2026,peak,city,orgulho local|historia|beneficios na regiao,Confira,Instagram|Facebook,Data municipal (expansivel por base plugavel),Curadoria regional (exemplo)
2026-03-02,CONSUMER_DAY_2026 (janela pre | D-13),retail,varejo|promo|planejamento,BR,,,annual,75,62,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-03,CONSUMER_DAY_2026 (janela pre | D-12),retail,varejo|promo|planejamento,BR,,,annual,75,64,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-04,CONSUMER_DAY_2026 (janela pre | D-11),retail,varejo|promo|planejamento,BR,,,annual,75,66,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-05,CONSUMER_DAY_2026 (janela pre | D-10),retail,varejo|promo|planejamento,BR,,,annual,75,68,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-05,Janela de salario (aprox.),behavior,varejo|promo|planejamento,BR,,,monthly,30,25,PAYDAY_2026_03,peak,national,planejamento|lista de compras|economia,Ver ofertas,MetaAds|GoogleAds,Heuristica (varia por empresa),Gerador Edro (heuristica)
2026-03-06,CONSUMER_DAY_2026 (janela pre | D-9),retail,varejo|promo|planejamento,BR,,,annual,75,70,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-07,CONSUMER_DAY_2026 (janela pre | D-8),retail,varejo|promo|planejamento,BR,,,annual,75,72,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-08,CONSUMER_DAY_2026 (janela pre | D-7),retail,varejo|promo|planejamento,BR,,,annual,75,74,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-09,CONSUMER_DAY_2026 (janela pre | D-6),retail,varejo|promo|planejamento,BR,,,annual,75,76,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-10,CONSUMER_DAY_2026 (janela pre | D-5),retail,varejo|promo|planejamento,BR,,,annual,75,78,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-11,CONSUMER_DAY_2026 (janela pre | D-4),retail,varejo|promo|planejamento,BR,,,annual,75,80,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-12,CONSUMER_DAY_2026 (janela pre | D-3),retail,varejo|promo|planejamento,BR,,,annual,75,82,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
2026-03-13,CONSUMER_DAY_2026 (janela pre | D-2),retail,varejo|promo|planejamento,BR,,,annual,75,84,CONSUMER_DAY_2026,pre,national,aquecimento|lista de desejos|teaser|beneficios,Ativar alerta,Instagram|Facebook|LinkedIn|MetaAds|GoogleAds|EmailMarketing,Janela automatica pre-evento,Gerador Edro (janela)
